Array count,Array size,Sorter,Time
150,8,openmp sorting network,55800
150,8,sequential sorting network,56000
150,8,std::sort,41600
160,8,own sorting network,102541600
160,8,openmp sorting network,58600
160,8,sequential sorting network,58500
160,8,std::sort,43400
170,8,own sorting network,104796400
170,8,openmp sorting network,61700
170,8,sequential sorting network,61300
170,8,std::sort,45400
180,8,own sorting network,110485300
180,8,openmp sorting network,65200
180,8,sequential sorting network,64500
180,8,std::sort,59500
190,8,own sorting network,117113800
190,8,openmp sorting network,67900
190,8,sequential sorting network,70800
190,8,std::sort,50900
200,8,own sorting network,121386900
200,8,openmp sorting network,72400
200,8,sequential sorting network,95700
200,8,std::sort,66100
210,8,own sorting network,128150900
210,8,openmp sorting network,75700
210,8,sequential sorting network,74800
210,8,std::sort,55500
220,8,own sorting network,146087500
220,8,openmp sorting network,90400
220,8,sequential sorting network,81900
220,8,std::sort,60600
230,8,own sorting network,147746300
230,8,openmp sorting network,84600
230,8,sequential sorting network,84700
230,8,std::sort,63400
240,8,own sorting network,156087900
240,8,openmp sorting network,101800
240,8,sequential sorting network,91200
240,8,std::sort,66100
250,8,own sorting network,176191200
250,8,openmp sorting network,95700
250,8,sequential sorting network,100500
250,8,std::sort,75900
260,8,own sorting network,198517500
260,8,openmp sorting network,100600
260,8,sequential sorting network,102200
260,8,std::sort,73900
270,8,own sorting network,181026200
270,8,openmp sorting network,103200
270,8,sequential sorting network,102600
270,8,std::sort,75700
280,8,own sorting network,215074100
280,8,openmp sorting network,110300
280,8,sequential sorting network,122200
280,8,std::sort,81300
290,8,own sorting network,240000700
290,8,openmp sorting network,139000
290,8,sequential sorting network,139200
290,8,std::sort,96500
300,8,own sorting network,216594000
300,8,openmp sorting network,119100
300,8,sequential sorting network,118700
300,8,std::sort,85000
310,8,own sorting network,215254400
310,8,openmp sorting network,116700
310,8,sequential sorting network,125500
310,8,std::sort,85800
320,8,own sorting network,202456400
320,8,openmp sorting network,118700
320,8,sequential sorting network,119700
320,8,std::sort,85300
330,8,own sorting network,219606600
330,8,openmp sorting network,119700
330,8,sequential sorting network,119000
330,8,std::sort,96500
340,8,own sorting network,210302500
340,8,openmp sorting network,120400
340,8,sequential sorting network,121200
340,8,std::sort,126200
350,8,own sorting network,210120700
350,8,openmp sorting network,125700
350,8,sequential sorting network,125000
350,8,std::sort,92600
360,8,own sorting network,235567300
360,8,openmp sorting network,150900
360,8,sequential sorting network,135500
360,8,std::sort,101900
370,8,own sorting network,271788700
370,8,openmp sorting network,175000
370,8,sequential sorting network,194100
370,8,std::sort,132400
380,8,own sorting network,256459200
380,8,openmp sorting network,143700
380,8,sequential sorting network,228400
380,8,std::sort,123600
390,8,own sorting network,245743300
390,8,openmp sorting network,138000
390,8,sequential sorting network,139300
390,8,std::sort,103200
400,8,own sorting network,247423000
400,8,openmp sorting network,139400
400,8,sequential sorting network,140500
400,8,std::sort,103700
410,8,own sorting network,250424300
410,8,openmp sorting network,144200
410,8,sequential sorting network,143100
410,8,std::sort,106700
420,8,own sorting network,249810500
420,8,openmp sorting network,143200
420,8,sequential sorting network,152400
420,8,std::sort,108200
430,8,own sorting network,263219600
430,8,openmp sorting network,147300
430,8,sequential sorting network,149500
430,8,std::sort,120400
440,8,own sorting network,266305100
440,8,openmp sorting network,152000
440,8,sequential sorting network,154300
440,8,std::sort,111400
450,8,own sorting network,270296600
450,8,openmp sorting network,156300
450,8,sequential sorting network,166300
450,8,std::sort,114500
460,8,own sorting network,272499800
460,8,openmp sorting network,165800
460,8,sequential sorting network,158800
460,8,std::sort,115300
470,8,own sorting network,286407000
470,8,openmp sorting network,161100
470,8,sequential sorting network,174400
470,8,std::sort,117700
480,8,own sorting network,291567400
480,8,openmp sorting network,163600
480,8,sequential sorting network,164200
480,8,std::sort,119300
490,8,own sorting network,299643000
490,8,openmp sorting network,171700
490,8,sequential sorting network,173300
490,8,std::sort,134600
500,8,own sorting network,317899700
500,8,openmp sorting network,182100
500,8,sequential sorting network,190700
500,8,std::sort,133200
510,8,own sorting network,319578600
510,8,openmp sorting network,183500
510,8,sequential sorting network,186000
510,8,std::sort,133600
520,8,own sorting network,323354600
520,8,openmp sorting network,182900
520,8,sequential sorting network,197200
520,8,std::sort,142100
530,8,own sorting network,337191400
530,8,openmp sorting network,202100
530,8,sequential sorting network,192900
530,8,std::sort,140700
540,8,own sorting network,331767700
540,8,openmp sorting network,190100
540,8,sequential sorting network,194900
540,8,std::sort,140600
550,8,own sorting network,390557000
550,8,openmp sorting network,211200
550,8,sequential sorting network,211500
550,8,std::sort,154000
560,8,own sorting network,377766100
560,8,openmp sorting network,205400
560,8,sequential sorting network,216200
560,8,std::sort,153400
570,8,own sorting network,347408600
570,8,openmp sorting network,200400
570,8,sequential sorting network,198400
570,8,std::sort,142200
580,8,own sorting network,342759000
580,8,openmp sorting network,206200
580,8,sequential sorting network,204900
580,8,std::sort,147700
590,8,own sorting network,348023500
590,8,openmp sorting network,201400
590,8,sequential sorting network,202000
590,8,std::sort,147800
600,8,own sorting network,367470700
600,8,openmp sorting network,223200
600,8,sequential sorting network,213900
600,8,std::sort,153400
610,8,own sorting network,398450400
610,8,openmp sorting network,219500
610,8,sequential sorting network,228300
610,8,std::sort,161900
620,8,own sorting network,359408800
620,8,openmp sorting network,204100
620,8,sequential sorting network,207000
620,8,std::sort,154700
630,8,own sorting network,362613600
630,8,openmp sorting network,207800
630,8,sequential sorting network,278400
630,8,std::sort,153700
640,8,own sorting network,361813500
640,8,openmp sorting network,218000
640,8,sequential sorting network,226200
640,8,std::sort,160500
650,8,own sorting network,378170700
650,8,openmp sorting network,213700
650,8,sequential sorting network,212800
650,8,std::sort,158900
660,8,own sorting network,373054500
660,8,openmp sorting network,218200
660,8,sequential sorting network,230800
660,8,std::sort,158900
670,8,own sorting network,378278500
670,8,openmp sorting network,220300
670,8,sequential sorting network,222500
670,8,std::sort,163600
680,8,own sorting network,375725200
680,8,openmp sorting network,223900
680,8,sequential sorting network,226200
680,8,std::sort,176000
690,8,own sorting network,389952600
690,8,openmp sorting network,226800
690,8,sequential sorting network,226600
690,8,std::sort,168700
700,8,own sorting network,386874200
700,8,openmp sorting network,226600
700,8,sequential sorting network,252700
700,8,std::sort,167300
710,8,own sorting network,401746800
710,8,openmp sorting network,230800
710,8,sequential sorting network,240800
710,8,std::sort,172900
720,8,own sorting network,402430100
720,8,openmp sorting network,237900
720,8,sequential sorting network,231300
720,8,std::sort,172400
730,8,own sorting network,403823000
730,8,openmp sorting network,237900
730,8,sequential sorting network,241900
730,8,std::sort,180900
740,8,own sorting network,418176800
740,8,openmp sorting network,240200
740,8,sequential sorting network,240000
740,8,std::sort,176100
750,8,own sorting network,411823900
750,8,openmp sorting network,247800
750,8,sequential sorting network,259800
750,8,std::sort,183500
760,8,own sorting network,419667600
760,8,openmp sorting network,244900
760,8,sequential sorting network,250400
760,8,std::sort,179200
770,8,own sorting network,428343600
770,8,openmp sorting network,252900
770,8,sequential sorting network,254400
770,8,std::sort,187700
780,8,own sorting network,444994700
780,8,openmp sorting network,263100
780,8,sequential sorting network,291300
780,8,std::sort,197800
790,8,own sorting network,457590600
790,8,openmp sorting network,267700
790,8,sequential sorting network,259200
790,8,std::sort,189300
800,8,own sorting network,439819600
800,8,openmp sorting network,256500
800,8,sequential sorting network,258000
800,8,std::sort,188200
810,8,own sorting network,444129800
810,8,openmp sorting network,264200
810,8,sequential sorting network,276600
810,8,std::sort,188400
820,8,own sorting network,448691100
820,8,openmp sorting network,273400
820,8,sequential sorting network,264700
820,8,std::sort,193200
830,8,own sorting network,460306200
830,8,openmp sorting network,272100
830,8,sequential sorting network,273700
830,8,std::sort,218900
840,8,own sorting network,458682100
840,8,openmp sorting network,269400
840,8,sequential sorting network,299700
840,8,std::sort,202500
850,8,own sorting network,471047900
850,8,openmp sorting network,272700
850,8,sequential sorting network,279700
850,8,std::sort,203200
860,8,own sorting network,472723200
860,8,openmp sorting network,281000
860,8,sequential sorting network,281600
860,8,std::sort,205700
870,8,own sorting network,481388900
870,8,openmp sorting network,279800
870,8,sequential sorting network,279700
