Array count,Array size,Sorter,Time
10,96,std::sort,83900
20,96,own sorting network,744218300
20,96,openmp sorting network,450300
20,96,sequential sorting network,420400
20,96,std::sort,202100
30,96,own sorting network,1512423700
30,96,openmp sorting network,858300
30,96,sequential sorting network,826200
30,96,std::sort,387700
40,96,own sorting network,2561070800
40,96,openmp sorting network,1406100
40,96,sequential sorting network,1376100
40,96,std::sort,667300
50,96,own sorting network,3829896300
50,96,openmp sorting network,2107200
50,96,sequential sorting network,2072500
50,96,std::sort,972500
60,96,own sorting network,5347354900
60,96,openmp sorting network,2954400
60,96,sequential sorting network,2853700
60,96,std::sort,1318900
70,96,own sorting network,7147458700
70,96,openmp sorting network,3859500
70,96,sequential sorting network,3748700
70,96,std::sort,1760800
80,96,own sorting network,9192647100
80,96,openmp sorting network,4969500
80,96,sequential sorting network,4925300
80,96,std::sort,2247600
90,96,own sorting network,11442741200
90,96,openmp sorting network,6176300
90,96,sequential sorting network,6232900
90,96,std::sort,2836400
100,96,own sorting network,13989023100
100,96,openmp sorting network,7489900
100,96,sequential sorting network,7559200
100,96,std::sort,3438300
10,104,own sorting network,277473100
10,104,openmp sorting network,162100
10,104,sequential sorting network,158600
10,104,std::sort,68500
20,104,own sorting network,827645200
20,104,openmp sorting network,450000
20,104,sequential sorting network,452700
20,104,std::sort,199400
30,104,own sorting network,1660561700
30,104,openmp sorting network,943500
30,104,sequential sorting network,907800
30,104,std::sort,403100
40,104,own sorting network,2782180300
40,104,openmp sorting network,1545100
40,104,sequential sorting network,1520000
40,104,std::sort,694300
50,104,own sorting network,4175957600
50,104,openmp sorting network,2261700
50,104,sequential sorting network,2232200
50,104,std::sort,1013200
60,104,own sorting network,5813655300
60,104,openmp sorting network,3155100
60,104,sequential sorting network,3156300
60,104,std::sort,1427800
70,104,own sorting network,7449546500
70,104,openmp sorting network,4425700
70,104,sequential sorting network,4386200
70,104,std::sort,1981800
80,104,own sorting network,9621424900
80,104,openmp sorting network,5642700
80,104,sequential sorting network,5673200
80,104,std::sort,2583000
90,104,own sorting network,12145878200
90,104,openmp sorting network,6979700
90,104,sequential sorting network,6974800
90,104,std::sort,3186400
100,104,own sorting network,14886836900
100,104,openmp sorting network,8486700
100,104,sequential sorting network,8571100
100,104,std::sort,3909300
10,112,own sorting network,268892000
10,112,openmp sorting network,158500
10,112,sequential sorting network,157600
10,112,std::sort,77900
