Array count,Array size,Sorter,Time
40,104,sequential sorting network,1433600
40,104,std::sort,654900
50,104,own sorting network,4426284400
50,104,openmp sorting network,2208900
50,104,sequential sorting network,2189200
50,104,std::sort,991900
60,104,own sorting network,6238935800
60,104,openmp sorting network,3207800
60,104,sequential sorting network,3187200
60,104,std::sort,1570700
70,104,own sorting network,8306645000
70,104,openmp sorting network,4209300
70,104,sequential sorting network,4261300
70,104,std::sort,2052500
80,104,own sorting network,10659886400
80,104,openmp sorting network,5460200
80,104,sequential sorting network,5509600
80,104,std::sort,2629500
90,104,own sorting network,13304978400
90,104,openmp sorting network,6730000
90,104,sequential sorting network,6820700
90,104,std::sort,3238600
100,104,own sorting network,16255401200
100,104,openmp sorting network,8147400
100,104,sequential sorting network,8273000
100,104,std::sort,3881800
10,112,own sorting network,302146100
10,112,openmp sorting network,163300
10,112,sequential sorting network,155700
10,112,std::sort,71500
20,112,own sorting network,945237700
20,112,openmp sorting network,476600
20,112,sequential sorting network,478600
20,112,std::sort,213100
30,112,own sorting network,1923765000
30,112,openmp sorting network,940200
30,112,sequential sorting network,947400
30,112,std::sort,421200
40,112,own sorting network,3209637500
40,112,openmp sorting network,1561800
40,112,sequential sorting network,1630000
40,112,std::sort,697600
50,112,own sorting network,4843734400
50,112,openmp sorting network,2339000
50,112,sequential sorting network,2425500
50,112,std::sort,1055500
60,112,own sorting network,6747889700
60,112,openmp sorting network,3255900
60,112,sequential sorting network,3374000
60,112,std::sort,1506800
70,112,own sorting network,8965558600
70,112,openmp sorting network,4338600
70,112,sequential sorting network,4456100
70,112,std::sort,2002400
80,112,own sorting network,11521414900
80,112,openmp sorting network,5591400
80,112,sequential sorting network,5928300
80,112,std::sort,2566900
90,112,own sorting network,14369128900
90,112,openmp sorting network,7044500
90,112,sequential sorting network,7331300
90,112,std::sort,3203100
100,112,own sorting network,17514991800
100,112,openmp sorting network,8597200
100,112,sequential sorting network,8882700
100,112,std::sort,3902200
10,120,own sorting network,354827900
10,120,openmp sorting network,187200
10,120,sequential sorting network,185900
10,120,std::sort,85000
20,120,own sorting network,1075903800
20,120,openmp sorting network,621000
20,120,sequential sorting network,598600
20,120,std::sort,282400
30,120,own sorting network,2145797400
30,120,openmp sorting network,1185800
30,120,sequential sorting network,1165400
30,120,std::sort,539500
40,120,own sorting network,3572820700
40,120,openmp sorting network,1884200
40,120,sequential sorting network,1849700
40,120,std::sort,845000
50,120,own sorting network,5338362800
50,120,openmp sorting network,2818800
50,120,sequential sorting network,2780200
50,120,std::sort,1299600
60,120,own sorting network,7420627500
60,120,openmp sorting network,3967900
60,120,sequential sorting network,4064200
60,120,std::sort,1824300
70,120,own sorting network,9874155800
70,120,openmp sorting network,5226400
70,120,sequential sorting network,5397600
70,120,std::sort,2430800
80,120,own sorting network,12762648500
80,120,openmp sorting network,6785400
80,120,sequential sorting network,6954000
80,120,std::sort,3142600
90,120,own sorting network,16323741600
90,120,openmp sorting network,8646200
90,120,sequential sorting network,8801600
90,120,std::sort,3985500
100,120,own sorting network,20436067400
100,120,openmp sorting network,10743100
100,120,sequential sorting network,10889400
100,120,std::sort,4917500
10,128,own sorting network,417133600
10,128,openmp sorting network,223500
10,128,sequential sorting network,223500
10,128,std::sort,100700
20,128,own sorting network,1300311100
20,128,openmp sorting network,666000
20,128,sequential sorting network,675100
20,128,std::sort,302300
30,128,own sorting network,2605816900
30,128,openmp sorting network,1321200
30,128,sequential sorting network,1366900
30,128,std::sort,595200
40,128,own sorting network,4394484800
40,128,openmp sorting network,2231900
40,128,sequential sorting network,2310000
40,128,std::sort,996200
50,128,own sorting network,6555077900
50,128,openmp sorting network,3313600
50,128,sequential sorting network,3392200
50,128,std::sort,1492200
60,128,own sorting network,9231184800
60,128,openmp sorting network,4703500
60,128,sequential sorting network,4770800
60,128,std::sort,2123500
70,128,own sorting network,12241985500
70,128,openmp sorting network,6269200
70,128,sequential sorting network,6335900
70,128,std::sort,2824900
80,128,own sorting network,15610072900
80,128,openmp sorting network,8051700
80,128,sequential sorting network,8126000
80,128,std::sort,3637700
90,128,own sorting network,19396874200
90,128,openmp sorting network,10004900
90,128,sequential sorting network,10087900
90,128,std::sort,4522000
100,128,own sorting network,23558929900
100,128,openmp sorting network,12122700
100,128,sequential sorting network,12203800
100,128,std::sort,5484300
10,136,own sorting network,567585300
10,136,openmp sorting network,277600
10,136,sequential sorting network,266400
10,136,std::sort,106500
20,136,own sorting network,1737163200
20,136,openmp sorting network,793400
20,136,sequential sorting network,787700
20,136,std::sort,311200
30,136,own sorting network,3478240900
30,136,openmp sorting network,1592300
30,136,sequential sorting network,1584500
30,136,std::sort,627500
40,136,own sorting network,5778147600
40,136,openmp sorting network,2672600
40,136,sequential sorting network,2616800
40,136,std::sort,1069900
50,136,own sorting network,8602506100
50,136,openmp sorting network,3969200
50,136,sequential sorting network,3929300
50,136,std::sort,1613800
60,136,own sorting network,12047694900
60,136,openmp sorting network,5530200
60,136,sequential sorting network,5496900
60,136,std::sort,2260000
70,136,own sorting network,16007147200
70,136,openmp sorting network,7290300
70,136,sequential sorting network,7253300
70,136,std::sort,2962300
80,136,own sorting network,20503356700
80,136,openmp sorting network,9301500
80,136,sequential sorting network,9277300
80,136,std::sort,3753100
90,136,own sorting network,25478038600
90,136,openmp sorting network,11555000
90,136,sequential sorting network,11545400
90,136,std::sort,4653200
100,136,own sorting network,30917958000
100,136,openmp sorting network,14044000
100,136,sequential sorting network,14029100
100,136,std::sort,5629500
10,144,own sorting network,560625900
10,144,openmp sorting network,262500
10,144,sequential sorting network,261200
10,144,std::sort,105700
20,144,own sorting network,1721256700
20,144,openmp sorting network,952700
20,144,sequential sorting network,815300
20,144,std::sort,333400
30,144,own sorting network,3492958400
30,144,openmp sorting network,1761500
30,144,sequential sorting network,1609900
30,144,std::sort,643800
40,144,own sorting network,5843581500
40,144,openmp sorting network,2869300
40,144,sequential sorting network,2718200
40,144,std::sort,1092600
50,144,own sorting network,8624945900
50,144,openmp sorting network,4141100
50,144,sequential sorting network,3985100
50,144,std::sort,1619100
60,144,own sorting network,11938668300
60,144,openmp sorting network,5678500
60,144,sequential sorting network,5520500
60,144,std::sort,2233200
70,144,own sorting network,15794959800
70,144,openmp sorting network,7471500
70,144,sequential sorting network,7303300
70,144,std::sort,2942800
80,144,own sorting network,20172383300
80,144,openmp sorting network,9504300
80,144,sequential sorting network,9349500
80,144,std::sort,3751800
90,144,own sorting network,25184607000
90,144,openmp sorting network,11796000
90,144,sequential sorting network,11674400
90,144,std::sort,4677300
100,144,own sorting network,30696766100
100,144,openmp sorting network,14278100
100,144,sequential sorting network,14144000
100,144,std::sort,5684300
10,152,own sorting network,545354600
10,152,openmp sorting network,253300
10,152,sequential sorting network,252800
10,152,std::sort,100800
20,152,own sorting network,1640827200
20,152,openmp sorting network,794800
20,152,sequential sorting network,771800
20,152,std::sort,316300
30,152,own sorting network,3335322000
30,152,openmp sorting network,1573100
30,152,sequential sorting network,1549000
30,152,std::sort,626200
40,152,own sorting network,5548478800
40,152,openmp sorting network,2607500
40,152,sequential sorting network,2577700
40,152,std::sort,1041400
50,152,own sorting network,8341557500
50,152,openmp sorting network,3965700
50,152,sequential sorting network,3870000
50,152,std::sort,1550900
60,152,own sorting network,11690649000
60,152,openmp sorting network,5553400
60,152,sequential sorting network,5453800
60,152,std::sort,2186200
70,152,own sorting network,15599061700
70,152,openmp sorting network,7462300
70,152,sequential sorting network,7354200
70,152,std::sort,2968500
80,152,own sorting network,20113415400
80,152,openmp sorting network,9523100
80,152,sequential sorting network,9432600
80,152,std::sort,3841800
90,152,own sorting network,25256418200
90,152,openmp sorting network,11894700
90,152,sequential sorting network,11793200
90,152,std::sort,4871500
100,152,own sorting network,30836858500
100,152,openmp sorting network,14548400
100,152,sequential sorting network,14442000
100,152,std::sort,5922700
10,160,own sorting network,599508000
10,160,openmp sorting network,277600
10,160,sequential sorting network,277700
10,160,std::sort,121700
20,160,own sorting network,1769844600
20,160,openmp sorting network,829200
20,160,sequential sorting network,816900
20,160,std::sort,338100
30,160,own sorting network,3531549900
30,160,openmp sorting network,1655000
30,160,sequential sorting network,1681400
30,160,std::sort,663900
40,160,own sorting network,5886741200
40,160,openmp sorting network,2733900
40,160,sequential sorting network,2783300
40,160,std::sort,1097600
50,160,own sorting network,8810628200
50,160,openmp sorting network,4172800
50,160,sequential sorting network,4192600
50,160,std::sort,1660500
